objid,ra,dec,u,g,r,i,z,class,redshift,velDisp,velDispErr
1237671940341432484,258.018641581467,64.4238798739193,25.98159,23.05972,21.75633,21.14394,21.0584,GALAXY,0.6939213,77.36395,52.52257
1237671939804561763,257.951229099967,64.0752260873783,20.18806,18.21236,17.2866,16.87274,16.55939,GALAXY,0.0873604,92.91257,10.88599
1237671768542544196,257.952832015722,64.1525800306957,18.69041,17.46782,16.83636,16.44554,16.20819,GALAXY,0.08279027,118.0747,13.35526
1237671939804561487,258.080537265349,64.0356334104144,18.81614,16.63012,15.65813,15.25769,15.02383,GALAXY,0.08268053,126.7509,6.0561
1237671939804561485,258.150217137187,64.0855373623478,20.90478,18.53858,17.64123,17.19605,16.9106,GALAXY,0.0827946,180.4232,10.74255
1237671768542544237,258.020011365904,64.1452257441562,19.57558,17.76172,16.87982,16.46374,16.15413,GALAXY,0.07933438,165.3165,10.52757
1237671939804627306,258.340516630173,64.0690707331199,18.71745,16.65773,15.71131,15.28201,14.95813,GALAXY,0.07623031,235.447,6.01559
1237671768542609768,258.418448328692,64.1974419135672,20.66465,18.56087,17.17802,16.63754,16.28058,GALAXY,0.2106248,268.5201,15.37077
1237671939804627419,258.406450056573,64.0222909402711,19.85373,18.98244,18.56711,18.16661,18.08488,GALAXY,0.0785919,99.32762,31.30642
1237671768005673406,258.335022771295,63.809618175129,19.51321,17.68938,16.74339,16.32372,15.9733,GALAXY,0.08489361,123.1787,5.93449
1237671939804561483,258.133634671946,64.0385560326226,19.56118,17.64848,16.64314,16.21251,15.97259,GALAXY,0.08280216,184.1799,8.096856
1237671768542544199,257.938173878375,64.2043330173849,19.4159,18.13337,17.57455,17.20957,16.95658,GALAXY,0.08209289,154.507,42.45959
1237671939804627298,258.335387493843,64.0094516824416,18.47042,17.77927,17.64785,17.43055,17.42111,GALAXY,0.07988858,0,31.42091
1237671768005738785,258.405274752286,63.8308081468094,19.9814,18.16921,17.38302,17.02954,16.74262,GALAXY,0.08599994,129.1712,7.501967
